,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
29389,80,3002624,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999126098,1501312.0,710879.9029999999,2003980,998644,3002624,1501312.0,710879.9029999999,2003980,998644,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999126098,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
60517,80,65,1,1,8,0,8,8,8.0,0.0,0,0,0.0,0.0,123076.9231,30769.23077,65.0,0.0,65,65,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,32,32,15384.615380000001,15384.615380000001,0,8,5.333333333,4.618802154,21.33333333,0,1,0,0,1,0,0,0,1,8.0,8.0,0.0,32,0,0,0,0,0,0,1,8,1,0,229,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
29046,80,106010336,5,4,247,0,231,0,49.4,101.5962598,0,0,0.0,0.0,2.3299614859999997,0.084897382,13300000.0,35100000.0,100000000,44,106000000,26500000.0,49100000.0,100000000,194,106000000,35300000.0,56100000.0,100000000,811,0,0,0,0,168,136,0.047165212000000005,0.03773217,0,231,24.7,72.5626932,5265.344443999999,0,0,0,1,0,0,0,0,0,27.44444444,49.4,0.0,168,0,0,0,0,0,0,5,247,4,0,29200,235,3,32,489.0,548.7148622000001,877,101,53000000.0,66500000.0,100000000,6009773,DoS slowloris
26714,80,508971,4,2,231,0,231,0,57.75,115.5,0,0,0.0,0.0,453.8568995,11.7884909,101794.2,227128.0669,508093,50,508971,169657.0,293174.8689,508186,91,828,828.0,0.0,828,828,0,0,0,0,136,72,7.8589939310000005,3.929496965,0,231,33.0,87.30979327,7623.0,0,0,0,1,0,0,0,0,0,38.5,57.75,0.0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
36461,80,108002383,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.148144879,0.03703622,36000000.0,62400000.0,108000000,61,108000000,108000000.0,0.0,108000000,108000000,108000000,108000000.0,0.0,108000000,108000000,1,0,0,0,64,64,0.01851811,0.01851811,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6.0,8.0,0.0,64,0,0,0,0,0,0,2,16,2,0,229,235,1,32,61.0,0.0,61,61,108000000.0,0.0,108000000,108000000,DoS slowloris
50291,80,3002026,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999325122,1501013.0,711335.2797,2004003,998023,3002026,1501013.0,711335.2797,2004003,998023,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999325122,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
42382,80,105668622,16,3,2541,6,231,0,158.8125,110.58283090000002,6,0,2.0,3.464101615,24.10365491,0.179807398,5870479.0,12500000.0,51300000,89,106000000,7044568.867000001,13500000.0,51300000,313,103000000,51300000.0,28000000.0,71200000,31500000,0,0,0,0,536,100,0.15141675599999999,0.028390642,0,231,127.35,117.57339250000001,13823.50263,0,0,0,1,0,0,0,0,0,134.05263159999998,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4707042.5,6656015.222999999,9413556,529,19300000.0,18800000.0,51300000,5838384,DoS slowloris
41940,80,3003908,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998699028,1501954.0,709973.3921,2003981,999927,3003908,1501954.0,709973.3921,2003981,999927,0,0.0,0.0,0,0,0,0,0,0,120,0,0.998699028,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
41968,80,3003604,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998800108,1501802.0,710114.8134,2003929,999675,3003604,1501802.0,710114.8134,2003929,999675,0,0.0,0.0,0,0,0,0,0,0,120,0,0.998800108,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
49250,80,3002994,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999002995,1501497.0,710605.5455,2003971,999023,3002994,1501497.0,710605.5455,2003971,999023,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999002995,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
