,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
60306,80,102593521,14,3,2541,6,231,0,181.5,98.36333745,6,0,2.0,3.464101615,24.82612913,0.165702472,6412095.062999999,13200000.0,51300000,4,103000000,7891805.462,14300000.0,51300000,4,103000000,51300000.0,28100000.0,71200000,31400000,0,0,0,0,456,100,0.136460859,0.029241613,0,231,141.5,115.45472759999998,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3205440.5,4532384.055,6410320,561,19200000.0,18800000.0,51300000,5775543,DoS slowloris
39429,80,103634868,15,3,2541,6,231,0,169.4,105.73741059999999,6,0,2.0,3.464101615,24.57667047,0.173686717,6096168.706,12900000.0,51300000,121,104000000,7402481.929,13900000.0,51300000,356,103000000,51300000.0,27900000.0,71000000,31600000,0,0,0,0,496,100,0.144738931,0.028947786,0,231,134.05263159999998,116.8034787,13643.052630000002,0,0,0,1,0,0,0,0,0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3706134.0,5240429.166999999,7411677,591,19200000.0,18800000.0,51300000,5960354,DoS slowloris
61844,80,3002830,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.9990575559999999,1501415.0,710728.5821,2003976,998854,3002830,1501415.0,710728.5821,2003976,998854,0,0.0,0.0,0,0,0,0,0,0,120,0,0.9990575559999999,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
68655,80,105734319,16,3,2541,6,231,0,158.8125,110.58283090000002,6,0,2.0,3.464101615,24.08867834,0.179695677,5874128.833,12500000.0,51400000,43,106000000,7048951.732999999,13500000.0,51400000,332,103000000,51400000.0,28000000.0,71100000,31600000,0,0,0,0,536,100,0.151322675,0.028373002,0,231,127.35,117.57339250000001,13823.50263,0,0,0,1,0,0,0,0,0,134.05263159999998,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4707924.5,6657180.535,9415262,587,19300000.0,18800000.0,51400000,5906070,DoS slowloris
50400,80,99999629,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.160000594,0.040000148,33300000.0,57700000.0,100000000,79,100000000,100000000.0,0.0,100000000,100000000,100000000,100000000.0,0.0,100000000,100000000,1,0,0,0,64,64,0.020000074,0.020000074,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6.0,8.0,0.0,64,0,0,0,0,0,0,2,16,2,0,229,235,1,32,79.0,0.0,79,79,100000000.0,0.0,100000000,100000000,DoS slowloris
31876,80,103678820,15,3,2541,6,231,0,169.4,105.73741059999999,6,0,2.0,3.464101615,24.56625181,0.173613087,6098754.118,12900000.0,51300000,93,104000000,7405623.357000001,13900000.0,51300000,223,103000000,51300000.0,28200000.0,71300000,31400000,0,0,0,0,496,100,0.144677573,0.028935515,0,231,134.05263159999998,116.8034787,13643.052630000002,0,0,0,1,0,0,0,0,0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3704078.0,5237552.656,7407587,569,19300000.0,18800000.0,51300000,5734019,DoS slowloris
31566,80,3000807,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999731072,1500403.5,712204.314,2004008,996799,3000807,1500403.5,712204.314,2004008,996799,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999731072,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
55193,80,3002236,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999255222,1501118.0,711174.0594,2003994,998242,3002236,1501118.0,711174.0594,2003994,998242,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999255222,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
49384,80,102685836,14,3,2541,6,231,0,181.5,98.36333745,6,0,2.0,3.464101615,24.80381033,0.165553504,6417864.75,13200000.0,51300000,3,103000000,7898904.154,14400000.0,51300000,3,103000000,51300000.0,28200000.0,71300000,31400000,0,0,0,0,456,100,0.13633818,0.029215323999999997,0,231,141.5,115.45472759999998,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3207618.0,4535484.718,6414690,546,19300000.0,18800000.0,51300000,5739218,DoS slowloris
68813,80,3003522,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998827377,1501761.0,709897.0245,2003734,999788,3003522,1501761.0,709897.0245,2003734,999788,0,0.0,0.0,0,0,0,0,0,0,120,0,0.998827377,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
