,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
68611,80,115872409,2,1,8,0,8,0,4.0,5.656854248999999,0,0,0.0,0.0,0.069041457,0.025890547000000003,57900000.0,81900000.0,116000000,38,116000000,116000000.0,0.0,116000000,116000000,0,0.0,0.0,0,0,1,0,0,0,64,32,0.017260364,0.008630182,0,8,4.0,4.618802154,21.33333333,0,1,0,0,1,0,0,0,0,5.333333333,4.0,0.0,64,0,0,0,0,0,0,2,8,1,0,229,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
55843,80,102657934,14,3,2390,6,239,0,170.71428569999998,110.76894080000001,6,0,2.0,3.464101615,23.33964757,0.165598501,6416120.875,13200000.0,51300000,52,103000000,7896754.231000001,14400000.0,51300000,316,103000000,51300000.0,28200000.0,71300000,31400000,0,0,0,0,456,100,0.13637523599999998,0.029223265,0,239,133.11111110000002,120.9316233,14624.457519999998,0,0,0,1,0,0,0,0,0,140.94117649999998,170.71428569999998,2.0,456,0,0,0,0,0,0,14,2390,3,6,29200,0,11,32,3205508.5,4532774.3780000005,6410664,353,19200000.0,18800000.0,51300000,5710904,DoS slowloris
55433,80,3001374,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.99954221,1500687.0,711756.7154,2003975,997399,3001374,1500687.0,711756.7154,2003975,997399,0,0.0,0.0,0,0,0,0,0,0,120,0,0.99954221,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
69206,80,410,1,2,231,483,231,231,231.0,0.0,483,0,241.5,341.5325753,1741463.415,7317.073170999999,205.0,285.6711396,407,3,0,0.0,0.0,0,0,3,3.0,0.0,3,3,1,0,0,0,32,64,2439.02439,4878.04878,0,483,236.25,197.27708940000002,38918.25,0,1,0,0,1,1,0,0,2,315.0,231.0,241.5,32,0,0,0,0,0,0,1,231,2,483,229,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
50274,80,3002815,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999062546,1501407.5,710727.875,2003968,998847,3002815,1501407.5,710727.875,2003968,998847,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999062546,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
55069,80,105597867,16,3,2541,6,231,0,158.8125,110.58283090000002,6,0,2.0,3.464101615,24.11980537,0.17992787699999999,5866548.167,12500000.0,51300000,80,106000000,7039852.467,13500000.0,51300000,453,103000000,51300000.0,28100000.0,71200000,31400000,0,0,0,0,536,100,0.15151821199999999,0.028409665,0,231,127.35,117.57339250000001,13823.50263,0,0,0,1,0,0,0,0,0,134.05263159999998,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4707666.0,6656922.441000001,9414821,511,19200000.0,18800000.0,51300000,5773852,DoS slowloris
31519,80,103670630,15,3,2541,6,231,0,169.4,105.73741059999999,6,0,2.0,3.464101615,24.56819255,0.173626802,6098272.352999999,12900000.0,51300000,82,104000000,7405039.142999999,13900000.0,51300000,560,103000000,51300000.0,28200000.0,71300000,31400000,0,0,0,0,496,100,0.14468900199999998,0.0289378,0,231,134.05263159999998,116.8034787,13643.052630000002,0,0,0,1,0,0,0,0,0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3707941.0,5243181.226,7415430,452,19300000.0,18800000.0,51300000,5705620,DoS slowloris
55048,80,103712106,15,3,2541,6,231,0,169.4,105.73741059999999,6,0,2.0,3.464101615,24.55836737,0.173557367,6100712.118,12900000.0,51400000,68,104000000,7408002.714,13900000.0,51400000,321,103000000,51400000.0,28000000.0,71200000,31600000,0,0,0,0,496,100,0.144631139,0.028926228,0,231,134.05263159999998,116.8034787,13643.052630000002,0,0,0,1,0,0,0,0,0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3704713.5,5238447.146000001,7408855,572,19300000.0,18800000.0,51400000,5901954,DoS slowloris
39167,80,102687878,14,3,2541,6,231,0,181.5,98.36333745,6,0,2.0,3.464101615,24.8033171,0.165550212,6417992.375,13200000.0,51300000,54,103000000,7899056.0,14400000.0,51300000,306,103000000,51300000.0,28200000.0,71300000,31400000,0,0,0,0,456,100,0.13633546900000001,0.029214742999999998,0,231,141.5,115.45472759999998,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3208538.0,4537030.453,6416703,373,19300000.0,18800000.0,51300000,5736037,DoS slowloris
55114,80,105633594,16,3,2541,6,231,0,158.8125,110.58283090000002,6,0,2.0,3.464101615,24.11164766,0.179867022,5868533.0,12500000.0,51300000,50,106000000,7042232.0,13500000.0,51300000,50,103000000,51300000.0,28100000.0,71200000,31500000,0,0,0,0,536,100,0.151466966,0.028400056,0,231,127.35,117.57339250000001,13823.50263,0,0,0,1,0,0,0,0,0,134.05263159999998,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4705604.5,6653966.028,9410669,540,19200000.0,18800000.0,51300000,5838215,DoS slowloris
